gene,p-value,parental difference (B6-DBA)
Affy_10556214,0.91618316,-0.02
Ipo7,0.69620165,0.062
Affy_10556242,0.41259684,-0.207
Ipo7,0.8961378,-0.041
Zfp143,0.61860847,0.087
Wee1,0.55400536,-0.276
Swap70,0.58023613,0.088
Gm9132,0.64119888,0.105
Adm,0.25517285,0.265
Ampd3,0.69431179,-0.084
Ctr9,0.33381092,0.126
Usp47,0.69717761,-0.049
Mical2,0.91673418,0.021
Micalcl,0.12932734,-0.49
Parva,0.46031825,-0.183
Tead1,0.18112658,0.763
Tead1,0.22297679,0.726
Rassf10,0.92941968,0.022
Arntl,0.093427619,0.864
A630005I04Rik,0.076602531,0.785
Far1,0.28863933,0.264
Spon1,0.76096473,0.066
Pde3b,0.23437014,0.257
Calcb,0.42793983,-0.175
Insc,0.40742207,0.208
Rpl19,0.90086433,0.014
1110006G14Rik,0.072003407,-0.561
1110004F10Rik,0.99655297,-0.001
Gm10589,0.3870929,-0.222
Nucb2,0.14800973,0.393
Xylt1,0.68308689,0.079
Affy_10556611,0.11415619,0.309
4930583K01Rik,0.27259417,-0.267
Tmc5,0.015990797,-1.434
6330503K22Rik,0.17151929,0.319
9030624J02Rik,0.13765333,0.211
Iqck,0.4307141,-0.136
Acsm5,0.2910419,-0.275
Acsm2,0.058407457,-0.385
Acsm1,0.88528146,-0.038
Acsm4,0.37003647,-0.257
Ppp1cc,1,0
Acsm3,0.31360342,0.536
2610020H08Rik,0.16332191,0.286
Lyrm1,0.33987369,0.167
Tmem159,0.88660223,0.04
Anks4b,0.44934915,0.184
Abca14,0.66864697,0.093
Abca15,0.89109157,-0.029
Abca16,0.6472881,0.07
Gm16475,0.07874735,-0.376
E130201H02Rik,0.69052089,-0.103
Uqcrc2,0.66621525,-0.054
BC030336,0.42021018,0.129
Vwa3a,0.90805392,0.023
Gm5737,0.99545449,-0.001
Eef2k,0.70882449,-0.066
Eef2k,0.6908436,-0.086
Polr3e,0.42345959,0.122
Polr3e,0.72198455,-0.089
4933427G17Rik,0.29493691,-0.242
Mettl9,0.35888448,0.185
Otoa,0.99603964,-0.001
Hs3st2,0.26177574,-0.29
1700069B07Rik,0.64035244,0.079
Scnn1g,0.61564033,0.071
Scnn1b,0.62888169,-0.074
Ubfd1,0.86261913,-0.031
Dctn5,0.20571321,0.168
Plk1,0.70706739,-0.12
2010110P09Rik,0.64883982,-0.105
Affy_10557175,0.87734529,0.067
Prkcb,0.32620859,0.529
Acp1,0.60629328,-0.095
Cacng3,0.8971731,-0.025
Rbbp6,0.37299713,-0.157
Rbbp6,0.27532584,0.321
Rbbp6,0.78737255,0.048
LOC100134980,0.10304359,-0.254
Gm6905,0.75710188,0.128
Tnrc6a,0.83301227,-0.044
Slc5a11,0.89027529,-0.032
Lcmt1,0.51868469,0.081
Aqp8,0.99765139,0.002
Hs3st4,0.32218086,-0.312
Gm16496,0.76614095,-0.081
4930533L02Rik,0.40345048,-0.234
4930571K23Rik,0.38279265,-0.181
Jmjd5,0.84369155,0.032
Il4ra,0.79942254,0.052
Il21r,0.49033124,-0.157
Kiaa0556,0.63744545,0.106
Kiaa0556,0.87946553,-0.042
Kiaa0556,0.12236258,0.343
Kiaa0556,0.71826841,0.063
Kiaa0556,0.72833244,0.05
Kiaa0556,0.12593334,-0.34
Kiaa0556,0.6603172,0.052
Kiaa0556,0.7056673,0.061
Kiaa0556,0.52815827,0.128
Sbk1,0.47629559,0.166
Rabep2,0.32702205,-0.14
Tufm,0.62154355,0.093
Eif3c,0.93874986,0.016
Apob48r,0.92170627,-0.022
Ccdc101,0.27561606,0.185
Bola2,0.92241154,0.015
Affy_10557455,0.14919371,-0.344
Mapk3,0.34491261,0.173
Gdpd3,0.11813738,-0.254
Ypel3,0.9206616,-0.016
Tbx6,0.28944976,-0.202
Fam57b,0.54139001,0.115
Doc2a,0.073268427,-0.438
Hirip3,0.74544139,0.067
Kctd13,0.6490945,-0.111
Sez6l2,0.55045933,-0.089
Cdipt,0.91417501,-0.019
AI467606,0.77327128,-0.052
Mylpf,0.34100832,-0.219
Zfp553,0.63095162,-0.093
Zfp771,0.080678451,-0.314
Itgal,0.2016759,0.706
LOC100048345,0.34407827,-0.208
Smt3h2-ps2,0.73841464,-0.05
Zfp689,0.35428101,0.154
Prr14,0.70012127,0.044
Fbrs,0.79572992,-0.047
Srcap,0.9719576,0.005
Snora30,0.93468584,0.02
Phkg2,0.84199614,-0.042
Rnf40,0.25574348,0.163
Ctf1,0.77077416,0.042
Fbxl19,0.57501679,-0.1
Orai3,0.58789295,0.082
Setd1a,0.54714177,0.119
Affy_10557780,0.84064464,-0.041
Hsd3b7,0.74699455,0.052
Stx4a,0.059506957,0.341
Affy_10557806,0.40028335,-0.204
Zfp646,0.75737586,-0.049
Bckdk,0.35497234,0.125
Kat8,0.32464377,0.18
Fus,0.99242921,-0.003
B230325K18Rik,0.38021334,0.246
Trim72,0.48691472,-0.133
Itgam,0.91891915,0.064
Itgax,0.14095858,0.428
Itgad,0.92519197,0.027
Itgad,0.15503331,-0.301
Armc5,0.14874535,0.17
Tgfb1i1,0.25596188,-0.204
Slc5a2,0.85459255,0.035
Bag3,0.5105515,-0.215
Inpp5f,0.60311318,-0.097
Sec23ip,0.12422485,-0.251
Ppapdc1a,0.90393634,0.019
Wdr11,0.47006138,0.085
Affy_10558088,0.98066287,-0.005
Tacc2,0.80621215,-0.056
Btbd16,0.35392001,-0.223
Plekha1,0.99581156,0.002
Htra1,0.58849299,-0.129
Dmbt1,0.092505835,1.294
5430419D17Rik,0.33095849,-0.161
Fam24a,0.42808751,-0.145
Pstk,0.59649918,-0.068
Acadsb,0.25420632,-0.263
Hmx3,0.20723432,-0.276
Hmx2,0.32928482,-0.265
Bub3,0.17322239,0.244
Gpr26,0.22998792,-0.251
Affy_10558263,0.27579756,-0.203
Lhpp,0.27809501,0.593
Fam175b,0.062658969,0.238
Zranb1,0.24939333,-0.222
Zranb1,0.22630995,0.423
2700050L05Rik,0.3495072,-0.145
Bccip,0.82336797,-0.043
Fank1,0.79004571,-0.06
Dock1,0.80933962,-0.045
5430417C01Rik,0.34498529,0.242
Nps,0.25924936,-0.237
4930544L04Rik,0.7545306,-0.065
Foxi2,0.17636681,-0.26
Ptpre,0.99684135,0.001
BC005624,0.61291121,0.107
Phgdh,0.36182653,-0.176
Mgmt,0.27266218,0.377
Gm10578,0.16118794,-0.359
Glrx3,0.99095545,-0.005
Ppp2r2d,0.60513769,0.126
Jakmip3,0.081459489,-0.386
Dpysl4,0.082906003,-0.34
Lrrc27,0.63229693,-0.106
Pwwp2b,0.26397056,0.166
Inpp5a,0.77126644,-0.039
Affy_10558533,0.32451531,-0.207
Gpr123,0.086036406,-0.406
Kndc1,0.44165892,-0.183
Utf1,0.96756439,-0.008
Zfp511,0.10227314,-0.251
Prap1,0.32059991,-0.215
Paox,0.55559938,0.2
Mtg1,0.7177999,-0.086
Olfr523,0.20123401,-0.266
Cd163l1,0.87551653,-0.032
5830411N06Rik,0.42027914,-0.174
Olfr525,0.43355282,-0.143
Olfr527,0.31817314,-0.28
Olfr533,0.46407142,-0.178
Olfr535,0.061717571,-0.374
Olfr46,0.18183073,-0.232
Olfr538,0.38965173,-0.202
Olfr46,0.14008798,-0.35
Olfr538,0.12218161,-0.268
Olfr46,0.64490484,-0.081
Olfr61,0.092835909,-0.231
Olfr53,0.77869403,0.048
Olfr539,0.35397966,0.192
Olfr45,0.78633107,-0.071
Olfr541,0.18047416,0.268
Cyp2e1,0.25286994,-0.13
1190003J15Rik,0.35089924,0.135
Scgb1c1,0.081795403,-0.343
Odf3,0.87088712,0.04
Ric8,0.54963905,-0.096
Psmd13,0.50084844,0.102
Gm15542,0.57296762,0.217
Nlrp6,0.11911512,-0.384
Athl1,0.77802469,0.058
Ifitm1,0.41595112,0.167
B4galnt4,0.25519615,-0.262
Pkp3,0.31353768,-0.214
Ptdss2,0.96058989,0.008
Lrrc56,0.4909428,-0.124
Rassf7,0.07404402,0.283
Phrf1,0.53903562,-0.097
Drd4,0.12910787,-0.324
Tmem80,0.48662261,0.1
Eps8l2,0.71014962,-0.075
Taldo1,0.36586381,0.266
Rangrf,0.23385364,0.399
Rplp2,0.47775983,0.135
Snora52,0.80419293,-0.061
Pnpla2,0.98895948,0.004
Efcab4a,0.36177446,-0.192
Cd151,0.78168493,-0.049
Tspan4,0.041687508,-0.466
Ap2a2,0.44720105,0.119
Muc2,0.90009397,0.028
Muc5ac,0.51042628,-0.129
Muc5b,0.82546539,-0.035
Brsk2,0.019043033,-0.446
Krtap5-3,0.37247982,-0.298
Krtap5-5,0.32896774,-0.286
B130016D09Rik,0.888845,-0.033
E330027M22Rik,0.80396768,-0.069
Krtap5-4,0.81368874,-0.053
Syt8,0.68795791,-0.076
Tnni2,0.41367122,-0.241
Lsp1,0.26691448,0.316
Tnnt3,0.083007786,-0.42
Mrpl23,0.74076892,0.097
Igf2as,0.14446456,-0.282
Igf2as,0.29511121,-0.233
Gm6471,0.74445239,-0.055
Tspan32,0.37603624,-0.142
Cd81,0.21055953,-0.259
Tssc4,0.25267943,0.193
Kcnq1,0.98424819,-0.003
Slc22a18,0.13292366,-0.298
Affy_10559310,0.47895532,-0.14
Dhcr7,0.83890898,-0.123
Gm498,0.38839043,0.171
Shank2,0.28503764,0.276
Shank2,0.4930599,0.15
Shank2,0.35873463,0.191
Gm10574,0.85734108,0.041
Gm10152,0.71529449,-0.105
Fgf3,0.83677205,-0.039
Fgf4,0.18158024,-0.264
Fgf15,0.06239158,-0.303
Oraov1,0.11631102,-0.341
Mrgprf,0.81144772,-0.046
Mrgprd,0.64431632,-0.112
Zc3h3,0.47864485,-0.105
Oscar,0.1752058,-0.257
Tfpt,0.92246851,0.019
Leng1,0.25165866,0.293
Tmc4,0.44698906,0.107
Mboat7,0.63542763,0.077
Lilrb3,0.70376471,0.182
Pira11,0.72000329,-0.124
Pira2,0.78961318,0.153
Lilra6,0.41328441,0.248
Lair1,0.33996963,0.417
9430041J12Rik,0.27295693,-0.275
Ttyh1,0.32143719,0.193
Leng9,0.88205144,0.033
Cdc42ep5,0.24650864,0.482
Cab39,0.45751716,0.129
Rdh13,0.4121312,-0.13
Ppp1r12c,0.93331331,-0.011
Tnnt1,0.26833168,-0.242
Tnni3,0.86274851,-0.045
6030429G01Rik,0.70615008,0.087
Syt5,0.075265768,-0.422
Ptprh,0.14422544,-0.356
Tmem86b,0.94555489,0.026
Ppp6r1,0.91922388,-0.013
Hspbp1,0.20604856,0.168
Tmem150b,0.32311423,-0.162
Cox6b2,0.11403308,-0.411
Fam71e2,0.34443407,-0.151
Il11,0.11778981,-0.385
2210411K11Rik,0.83775061,-0.052
Ube2s,0.401007,0.128
Shisa7,0.37547062,-0.18
Isoc2b,0.28262493,-0.289
Sbk2,0.3361765,-0.235
Gm1078,0.67398226,-0.088
Zfp579,0.31465285,0.24
Fiz1,0.32161141,0.155
Zfp784,0.43440991,-0.158
Rfpl4,0.7984363,0.049
Rasl2-9-ps,0.80172414,0.059
Vmn1r56,0.9130655,0.02
Affy_10559728,0.61984924,-0.157
Nlrp2,0.83170391,0.042
Vmn1r58,0.86855834,-0.057
Vmn1r59,0.96051504,0.007
Vmn2r28,0.25950594,0.22
Vmn1r63,0.94239949,-0.015
Vmn1r64,0.81061866,-0.044
Affy_10559756,0.988924,-0.004
Vmn1r65,0.75558811,0.054
Affy_10559762,0.43941182,0.132
Zfp787,0.41714037,0.184
Zfp583,0.40614068,0.196
Olfr5,0.055235983,-0.677
Olfr1347,0.058834041,-0.725
Olfr1348,0.87296004,0.044
Olfr1349,0.66712865,-0.091
Zim1,0.14649705,-0.253
Peg3,0.49567659,0.256
Affy_10559816,0.63409174,-0.103
LTR_Affy_10559818,0.66055973,0.259
5730403M16Rik,0.88917857,-0.034
Zfp773,0.29230161,-0.238
Zfp772,0.56185452,-0.125
Vmn2r29,0.18725659,0.223
Clcn4-2,0.31534817,0.149
Vmn2r51,0.021994874,0.323
2810047C21Rik1,0.75416545,-0.094
Vmn2r33,0.034992855,0.289
Vmn2r42,0.17103163,0.196
Vmn2r43,0.38955815,0.21
Vmn2r34,0.004191346,0.369
Vmn2r42,0.14951101,0.204
Vmn2r43,0.036491241,0.25
Affy_10559916,0.24457462,0.264
Zfp772,0.3799144,-0.252
Vmn2r51,0.18175938,0.234
Vmn2r43,0.03871094,0.305
Vmn2r52,0.86660956,0.035
Vmn1r66,0.42261474,0.09
Nlrp4d,0.90540671,0.016
Zik1,0.9496869,0.014
Vmn1r69,0.1714274,0.233
Vmn1r71,0.087992114,-0.296
Zscan4c,0.74224131,0.053
Zscan4-ps2,0.60553582,0.086
Affy_10559987,0.50847322,0.087
Aurkc,0.52640719,-0.144
Gm4157,0.76605647,0.048
Tpm3,0.23294316,0.181
Aurkc,0.36816732,-0.195
Vmn1r72,0.55539453,-0.08
Vmn1r76,0.71369972,-0.078
Rnf141,0.59026407,0.106
Vmn1r81,0.35753761,-0.147
Vmn1r83,0.95266625,-0.014
Vmn1r84,0.29654357,-0.195
Zfp551,0.86616012,0.043
Vmn2r54,0.82150429,-0.086
Vmn2r56,0.48116624,-0.194
Zscan18,0.68424742,-0.116
Zfp329,0.86398023,-0.04
Slc27a5,0.75086653,-0.059
Zbtb45,0.081849721,0.288
Chmp2a,0.87682026,-0.024
Ube2m,0.4609083,0.116
Mzf1,0.38788899,-0.25
Vmn1r85,0.5178282,0.155
Affy_10560089,0.55848186,0.17
Vmn1r87,0.79048088,0.046
Affy_10560094,0.66617204,-0.067
6330408A02Rik,0.91428312,0.021
Rps8,0.4643013,-0.13
9230107M04Rik,0.15770455,-0.277
Sult2a4,0.9374096,0.012
Sult2a3,0.66485396,-0.061
Sult2a6,0.2990088,0.166
2810007J24Rik,0.60466453,-0.263
Vmn1r90,0.89309347,0.03
Obox3,0.33950249,-0.151
Obox3,0.66348697,0.076
Obox6,0.88396787,-0.036
Crx,0.6375048,-0.072
Sepw1,0.06755768,-0.472
Gltscr2,0.79451681,-0.047
Ehd2,0.01219575,0.549
Gltscr1,0.7907771,-0.031
Dhx34,0.67237485,0.077
Gpr77,0.19496187,0.496
C5ar1,0.95870352,0.015
Ccdc9,0.85856089,-0.026
Sae1,0.26215702,-1.248
Npas1,0.39134596,-0.208
Grlf1,0.53035827,0.122
Affy_10560292,0.53576836,0.099
Ceacam15,0.84317825,-0.054
Affy_10560298,0.72057228,-0.084
Fkrp,0.96997743,0.005
Calm3,0.13997703,0.264
Affy_10560311,0.3146092,-0.268
Affy_10560313,0.65307126,0.12
Ppp5c,0.7877555,0.036
Hif3a,0.216874,-0.208
LOC676461,0.81039883,-0.048
Kctd20,0.90167429,0.019
Affy_10560356,0.88892006,0.019
Psg18,0.66302749,0.102
Psg28,0.72864257,-0.078
Psg26,1,0
Psg25,0.56868888,0.102
Psg27,0.004178354,-0.594
Psg23,0.68253221,-0.116
Psg21,0.59278584,-0.128
Affy_10560395,0.45517864,0.183
Affy_10560397,0.63070202,-0.156
Affy_10560399,0.55495301,0.246
Psg19,0.82951904,-0.044
Psg17,0.10275293,-0.243
Ccdc61,0.82411201,-0.042
Mypop,0.18663428,-0.305
Foxa3,0.10891408,-0.691
Qpctl,0.18408153,-0.272
Gipr,0.82553025,-0.047
Vasp,0.62785255,0.078
Ppm1n,0.50734594,-0.187
Fosb,0.7207039,-0.08
Cd3eap,0.47579961,-0.141
Klc3,0.84052954,0.033
Ckm,0.21875336,-0.268
Mark4,0.93812873,-0.013
Affy_10560528,0.26752878,-0.243
Bloc1s3,0.62322798,0.077
Ppp1r37,0.9898773,-0.002
Gemin7,0.49080336,0.097
Clasrp,0.85411932,-0.026
Relb,0.82011204,0.065
Clptm1,0.200399,-0.13
Apoc2,0.85758385,0.057
Apoc4,0.72082687,-0.043
Apoc1,0.54757166,-0.067
Apoe,0.24067077,-0.106
Tomm40,0.20690196,-0.143
Pvrl2,0.78682147,-0.063
Bcam,0.54753337,-0.092
Cblc,0.15227248,-0.345
Bcl3,0.91987231,-0.026
Ceacam16,0.22053438,-0.263
Ceacam19,0.21663667,-0.173
Pvr,0.69382007,-0.104
2210010C17Rik,0.44310668,-0.202
Affy_10560726,0.26822426,-0.177
Vmn1r148,0.70503216,-0.049
Vmn1r93,0.66532135,0.07
Vmn1r93,0.79163741,0.038
Vmn1r93,0.98576231,-0.003
Vmn1r93,0.86955966,0.025
Vmn1r183,0.73440574,-0.058
Affy_10560746,0.4764114,-0.136
Vmn1r148,0.92291692,0.016
Affy_10560754,0.90000183,0.019
Affy_10560758,0.65968586,-0.1
Gm5891,0.6053062,0.105
Gm5891,0.82893839,0.05
Vmn1r148,0.80524978,0.033
Affy_10560771,0.65968586,-0.1
Gm5891,0.6053062,0.105
Gm5156,0.82893839,0.05
Vmn1r93,0.84564085,0.031
Vmn1r93,0.66532135,0.07
Vmn1r93,0.72753902,0.056
Vmn1r93,0.98576231,-0.003
Vmn1r93,0.90123772,0.019
Gm5156,0.80845456,0.056
Vmn1r148,0.6745182,0.052
Vmn1r148,0.91206211,-0.019
Vmn1r180,0.83966853,-0.04
Vmn1r180,0.65968586,-0.1
Gm5891,0.6053062,0.105
Gm5156,0.64635829,0.108
Vmn1r171,0.011029505,-0.266
Vmn1r176,0.98341813,0.005
Vmn1r177,0.52485174,0.126
Atp5g2,0.81568909,0.04
Zfp111,0.095500133,0.395
Zfp109,0.25449404,0.233
Zfp61,0.76467935,-0.062
Zfp94,0.9151781,0.031
1700008P20Rik,0.53038382,-0.139
Irgc1,0.67275313,-0.086
Pinlyp,0.76035085,0.056
Zfp575,0.14453147,-0.3
Tex101,0.91702136,0.025
Gm4763,0.03737833,-0.445
Cd177,0.82446837,-0.041
Lypd4,0.69956203,-0.078
Gm4881,0.70202529,0.098
Rabac1,0.090191628,-0.298
Atp1a3,0.94985851,0.014
Grik5,0.14910278,-0.346
Pou2f2,0.62955294,-0.13
Dedd2,0.10556699,-0.297
Gsk3a,0.73374588,-0.048
Erf,0.49130735,0.135
Ceacam1,0.84047107,-0.033
Pafah1b3,0.34926189,-0.157
Cnfn,0.39220922,-0.257
Lipe,0.93659231,0.013
Cxcl17,0.85022851,-0.043
Affy_10561052,0.24003054,-0.315
Ceacam2,0.15099887,-0.726
Gm7092,0.80703233,-0.055
Bckdha,0.64508732,-0.077
Tmem91,0.23274036,-0.278
Ccdc97,0.90723727,-0.016
Hnrnpul1,0.31700589,0.096
Axl,0.34175473,0.405
Cyp2s1,0.41795634,-0.194
Rpl37a,0.82655797,0.03
Mrpl41,0.49987187,0.15
Nlrp9c,0.97306722,-0.006
Vmn1r185,0.66220891,-0.084
Cyp2b23,0.35353347,0.261
Cyp2a22,0.60740961,0.899
Affy_10561166,0.001226394,-1.074
Egln2,0.14850399,-0.177
Rab4b,0.78427347,0.056
Mia1,0.61156439,-0.094
Snrpa,0.3779288,-0.149
Itpkc,0.98697417,0.003
Ltbp4,0.16157881,0.386
Shkbp1,0.27441371,0.176
Spnb4,0.57307896,-0.082
Pgam1,0.73721634,0.063
Pld3,0.9854652,0.003
Map3k10,0.12285139,-0.229
Prkcz,0.4513532,-0.191
1700049G17Rik,0.76017845,0.084
Josd1,0.16736399,0.32
Zfp780b,0.64163691,0.142
Affy_10561351,0.83570233,0.05
Psmc4,0.45222314,0.15
BC089491,0.6907991,-0.102
Dll3,0.97860475,0.006
Timm50,0.80684801,-0.043
Supt5h,0.47319067,0.107
Plekhg2,0.97720538,-0.004
Zfp36,0.31634884,0.397
Med29,0.38049007,-0.184
Samd4b,0.3397956,0.158
Il28a,0.27199123,-0.366
Nccrp1,0.89150096,-0.032
Pak4,0.35814229,0.116
C330005M16Rik,0.2772347,-0.217
Mrps12,0.98870341,-0.003
Nfkbib,0.63932647,0.095
Gm10648,0.88773062,0.03
Actn4,0.45419936,-0.108
Eif3k,0.52382933,0.099
Ryr1,0.24235512,-0.144
Rasgrp4,0.75497885,-0.041
Spred3,0.43053408,-0.2
Psmd8,0.6402324,-0.071
Catsperg,0.79540298,-0.105
Kcnk6,0.47514658,0.197
2200002D01Rik,0.52276646,-0.112
Spint2,0.1365582,-0.296
Sipa1l3,0.44963994,-0.097
Affy_10561746,0.99639852,0.001
Catsperg2,0.96195576,0.007
BC027344,0.030794787,0.491
Zfp27,0.17881666,0.453
Zfp74,0.16203901,0.255
Mif,0.80984911,0.06
Zfp14,0.81329933,-0.057
Zfp82,0.74505668,0.053
Zfp566,0.53543191,0.138
Zfp146,0.19775808,0.404
Capns1,0.31583288,0.604
Tbcb,0.39184461,0.249
Ovol3,0.59716249,-0.108
Wdr62,0.76446298,-0.05
Sdhaf1,0.19973663,0.264
Lrfn3,0.005542058,0.685
Affy_10561918,0.52130994,-0.114
Hcst,0.14967487,-0.315
Aplp1,0.39604453,-0.22
Kirrel2,0.67316925,-0.09
Rps12,0.82804555,0.044
Arhgap33,0.35320318,-0.193
Proser3,0.59660981,0.109
Lin37,0.25928606,0.216
Psenen,0.76491461,0.053
Wbp7,0.58531173,-0.082
Zbtb32,0.59620703,-0.124
Upk1a,0.49547239,-0.148
Cox6b1,0.89809291,-0.032
Etv2,0.95043807,0.012
Rbm42,0.57708307,0.084
Haus5,0.005090816,0.705
4930479M11Rik,0.39760236,-0.176
Tmem147,0.27155501,0.293
Gapdhs,0.76703365,0.055
Ffar2,0.94875098,-0.015
Ffar3,0.21433003,-0.241
Ffar1,0.59049622,-0.148
Cd22,0.20336963,0.37
Mag,0.66297066,-0.118
Hamp2,0.50797678,-1.206
Hamp,0.97578464,0.06
Usf2,0.4321147,-0.133
Lsr,0.51008221,0.166
Fxyd5,0.74553877,0.141
Fxyd7,0.76244434,-0.048
Fxyd1,0.75151173,0.075
Fxyd3,0.37296282,-0.165
Hpn,0.87850868,-0.024
Scn1b,0.89361611,0.027
Gramd1a,0.77340607,-0.056
Apbh,0.064434502,-0.303
Affy_10562285,0.23735941,0.284
Gm5329,0.99548314,0.001
Gm5329,0.93088666,-0.016
Abpd,0.11788009,-0.246
Scgb2b1-ps,0.98745743,0.002
Abpz,0.77157942,-0.067
Affy_10562304,0.63612402,0.09
Abpg,0.52468768,-0.142
Abpb,0.41726515,-0.152
Gm12760,0.87567547,-0.046
Wtip,0.25762891,-0.259
Uba2,0.11644873,0.414
Pdcd2l,0.74692457,-0.051
Affy_10562358,0.39215658,0.169
Gpi1,0.75658462,0.074
KIAA0355,0.095593706,0.272
Lsm14a,0.8404603,-0.026
Affy_10562394,0.77492475,-0.074
Affy_10562397,0.12435415,-0.45
Kctd15,0.25477149,-0.254
Chst8,0.44494344,-0.17
Cebpg,0.708112,0.064
Lrp3,0.82699709,0.037
Wdr88,0.31527945,0.165
Gpatch1,0.57558999,0.109
C230052I12Rik,0.14816396,0.296
Tdrd12,0.66839453,-0.062
Nudt19,0.047867312,0.626
Rgs9bp,0.97532002,-0.006
Pdcd5,0.13448256,-0.218
Dpy19l3,0.48668204,-0.412
Zfp507,0.95667956,-0.009
Zfp536,0.44259363,-0.138
Affy_10562546,0.96083063,-0.011
Uri1,0.20230202,-0.189
Ccne1,0.045495526,-0.332
Plekhf1,0.78345286,0.081
Pop4,0.40432076,0.134
Gm5591,0.24913521,-0.222
Gm5114,0.81203932,-0.067
4930433I11Rik,0.91004938,-0.016
Gm16387,0.6045784,-0.114
Affy_10562601,0.29279426,-0.196
Affy_10562603,0.26424665,0.262
AI987944,0.16482493,0.468
AW146154,0.21310044,0.262
Ctdnep1,0.5003956,0.189
Affy_10562629,0.67023245,-0.145
Vmn2r-ps57,0.21472999,-0.161
Gm7224,0.5068713,-0.136
Ccnb1,0.88398351,0.044
Gapdh,0.83389141,-0.031
Vmn2r60,0.55881401,0.087
4933421I07Rik,0.72360464,-0.101
Rpl29,0.3579463,-0.201
Affy_10562649,0.30435215,-0.252
C330019L16Rik,0.11618197,1.034
Gm5595,0.064096767,2.09
Affy_10562661,0.35283628,0.23
Rps4x,0.62873453,0.081
Affy_10562665,0.23797947,0.235
Affy_10562667,0.82165772,0.047
Zfp715,0.15498898,0.516
Affy_10562685,0.66630979,-0.086
Iglon5,0.51714777,-0.162
4931406B18Rik,0.58708696,-0.12
EG434181,0.16537625,-0.333
Cd33,0.74639327,-0.086
Siglece,0.80075794,0.146
Affy_10562729,0.53947085,-0.142
Affy_10562731,0.28179283,0.266
1700028J19Rik,0.36489528,-0.279
Acpt,0.21192926,-0.252
Affy_10562754,0.90489632,-0.027
Clec11a,0.64161602,-0.106
1700008O03Rik,0.045780134,-0.37
2310044H10Rik,0.29864699,-0.172
Mybpc2,0.81282456,0.032
Spib,0.45095764,0.163
Pold1,0.87043778,0.032
Nr1h2,0.44763795,0.121
Myh14,0.43504592,0.114
Zfp473,0.35041888,-0.182
Atf5,0.46225926,-0.279
Tbc1d17,0.52194186,0.148
Ptov1,0.87592626,0.024
Med25,0.78322872,0.04
Fuz,0.84638256,-0.045
Ap2a1,0.39703893,-0.079
Cpt1c,0.60678166,-0.103
Prmt1,0.69218051,-0.066
Bcl2l12,0.35940871,-0.176
Scaf1,0.48193301,0.099
Prr12,0.8376017,0.032
Prrg2,0.75392214,-0.092
Rcn3,0.6111654,-0.17
Fcgrt,0.84882861,-0.042
Fcgrt,0.51315846,0.148
Snord35b,0.82646966,0.132
Rpl13a,0.90134204,-0.027
Snord35a,0.54247968,0.236
Snord34,0.76426527,0.145
Snord33,0.77183763,0.145
Snord32a,0.85345747,-0.086
Flt3l,0.44070846,0.13
Aldh16a1,0.068798531,0.574
Ccdc155,0.75499233,-0.066
Dkkl1,0.46423042,-0.196
Gm10630,0.68815706,-0.096
Cd37,0.39894679,0.189
Trpm4,0.58617071,-0.095
Ppfia3,0.18290539,-0.408
Lin7b,0.227282,-0.291
Snrnp70,0.96051118,-0.008
Ruvbl2,0.74819582,0.05
Ftl1,0.19668207,-0.209
Bax,0.46506368,0.173
Dhdh,0.78597213,-0.048
Nucb1,0.88108599,-0.023
Ppp1r15a,0.39077668,0.141
Fgf21,0.22504207,-0.768
Fut2,0.71457158,-0.078
Sec1,0.21493478,-0.277
Sphk2,0.080762139,0.592
Spaca4,0.012748374,-0.533
Sult2b1,0.43797745,-0.16
Gm5897,0.93678244,0.021
Cyth2,0.078749484,0.205
Kcnj14,0.6358493,0.221
Grwd1,0.93921903,-0.012
Grin2d,0.27871044,0.214
Affy_10563434,0.79341209,-0.039
Syngr4,0.42607421,-0.15
Emp3,0.43438831,0.299
Abcc6,0.57206573,0.263
Kcnj11,0.11779096,-0.34
Abcc8,0.2172442,-0.271
Ush1c,0.32026539,-0.184
Sergef,0.57905192,-0.08
Tph1,0.58075918,-0.083
Saal1,0.58989149,-0.107
Saa3,0.21736024,1.088
Saa4,0.47918323,-0.232
Affy_10563608,0.94668917,-0.021
Saa1,0.27127541,1.754
Hps5,0.82879993,0.041
Rap1a,0.72799536,0.065
Tsg101,0.87939778,0.026
Uevld,0.25853095,0.353
Affy_10563657,0.90831378,0.022
Spty2d1,0.42492684,-0.16
Affy_10563666,0.44951672,-0.114
Ptpn5,0.25254021,-0.251
Mrgpra6,0.81826807,0.045
Mrgpra9,0.20593098,0.582
Mrgpra1,0.18932561,-0.175
Mrgpra2b,0.36341951,-0.15
Mrgpra2b,0.26388396,-0.164
Gm9717,0.54533314,0.161
Mrgpra3,0.65831929,0.088
Mrgpra3,0.86765355,0.024
Gm5734,0.23364549,-0.278
Affy_10563731,0.38129259,-0.201
Mrgpra4,0.68598119,0.06
Mrgprx1,0.9492947,0.014
Affy_10563743,0.55169567,0.129
Mrgprb5,0.18643984,-0.322
Mrgprb4,0.35660388,-0.124
Mrgprb1,0.73156438,-0.061
Mrgprx2,0.31634119,-0.188
Mrgprb2,0.94691084,-0.014
Mrgprb3,0.56018705,0.094
