gene,p-value,parental difference (B6-DBA)
Affy_10338362,0.90227152,-0.074
Affy_10338363,0.028112671,0.85
Affy_10338364,0.99379506,0.004
Affy_10338365,0.72371178,-0.389
Affy_10338366,0.95192249,-0.026
Affy_10338367,0.37636723,0.45
Affy_10338368,0.27241267,0.716
Affy_10338369,0.36656773,0.484
Affy_10338370,0.42686729,0.441
Affy_10338371,0.7796698,0.11
Affy_10338372,0.47224773,0.368
Affy_10338373,0.85139075,-0.102
Tbl3,0.79622899,0.102
Affy_10338375,0.56997643,-0.252
Affy_10338376,0.23046789,0.676
Affy_10338377,0.49263622,0.406
Affy_10338378,0.72839526,-0.195
Affy_10338379,0.47298547,0.287
Affy_10338380,0.57143237,0.156
Affy_10338381,0.069304648,0.591
Affy_10338382,0.27753358,0.745
Affy_10338383,0.2164399,0.452
Affy_10338384,0.44812994,0.738
Affy_10338385,0.052214394,0.52
Affy_10338386,0.83460236,-0.077
Affy_10338387,0.058035122,1.32
Affy_10338388,0.8788369,0.113
Affy_10338389,0.15960097,0.779
Affy_10338390,0.52332314,-0.38
Affy_10338391,0.55666439,-0.211
Affy_10338392,0.30421326,-0.536
Affy_10338393,0.50820031,-0.294
Affy_10338394,0.07673372,-0.41
Affy_10338395,0.67634825,0.139
Affy_10338396,0.40285278,-0.408
Affy_10338397,0.84891302,0.103
Affy_10338398,0.37764877,-0.249
Affy_10338399,0.9210964,-0.028
Affy_10338400,0.61154682,-0.264
Affy_10338401,0.67892881,-0.127
Affy_10338402,0.57396139,0.251
Affy_10338403,0.4598092,-0.279
Affy_10338404,0.21428559,-0.381
Affy_10338405,0.20350417,0.558
Affy_10338406,0.24907939,-0.674
Affy_10338407,0.75440043,-0.152
Affy_10338408,0.92235258,-0.034
Affy_10338409,0.671213,-0.273
Affy_10338410,0.91502638,0.054
Affy_10338411,0.31361064,-0.228
Affy_10338412,0.62854631,0.263
Affy_10338413,0.764967,0.215
Affy_10338414,0.65734605,-0.195
Affy_10338415,0.30290899,-0.547
Affy_10338416,0.61905028,0.318
Affy_10338417,0.61689091,0.31
Affy_10338418,0.6684019,0.2
Affy_10338419,0.98818497,0.008
Affy_10338420,0.97821498,0.018
Affy_10338421,0.67212942,0.138
Affy_10338422,0.5232193,0.266
Affy_10338423,0.72524346,-0.19
Affy_10338424,0.75053123,-0.075
Affy_10338425,0.54247319,0.2
Affy_10338426,0.19274708,0.684
Affy_10338427,0.69169144,0.207
