target,gene,p-value,parental difference (B6-DBA)
1457489_at,Eif4e,0.86551461,0.0442
1457490_at,B230218L05Rik,0.95581138,0.02
1457491_at,Plekha1,0.83117857,0.0764
1457492_at,A930031D07Rik,0.34644869,0.3288
1457493_at,BI076831,0.49978587,0.2518
1457494_at,Pcdh10,0.68738751,-0.1736
1457495_at,2900052N01Rik,0.40711276,-0.3524
1457496_at,4933408N02Rik,0.22232033,0.6428
1457497_at,Syt1,0.48273378,0.2688
1457498_at,Man2a2,0.99858708,0.0002
1457499_at,Wwp2,0.92229824,-0.015
1457500_at,Depdc5,0.34933404,0.2772
1457501_at,Cox7b,0.88121618,-0.0326
1457502_at,Qk,0.98074267,0.0048
1457503_at,2310035C23Rik,0.51739817,-0.1476
1457504_at,9330209N08Rik,0.87832725,-0.021
1457505_at,Utrn,0.80680469,-0.0422
1457506_at,Pard3b,0.72456645,-0.0644
1457507_at,1700010B13Rik,0.92333295,0.0202
1457508_at,C430003N24Rik,0.44534499,0.4138
1457509_at,Sbno1,0.64597807,0.1272
1457510_at,Phf14,0.59492289,0.1362
1457511_at,Rgs12,0.54349591,0.1904
1457512_at,MGC38798,0.8076459,-0.0604
1457513_at,6330569M22Rik,0.88033634,0.0254
1457514_at,Ylpm1,0.31269979,0.132
1457515_at,Hipk1,0.7713953,-0.123
1457516_at,5033413H12Rik,0.89926485,0.0258
1457517_at,A730046G19Rik,0.80229015,-0.0512
1457518_at,C630004H02Rik,0.74024612,0.0512
1457519_at,Oatl1,0.67085056,-0.0674
1457520_at,Tcfcp2l3,0.95106482,-0.0076
1457521_at,D18Ertd232e,0.8351307,0.0476
1457522_at,1110034C04Rik,0.629678,-0.096
1457523_at,9530056K15Rik,0.99593711,0.0014
1457524_at,Tcf12,0.27640943,0.725
1457525_at,4933439F11Rik,0.66487527,-0.0972
1457526_at,Grb14,0.46495412,0.0932
1457527_at,B430202H16Rik,0.95564149,0.0118
1457528_at,Slc4a7,0.28227281,0.53
1457529_x_at,C4bp,0.89126185,0.0494
1457530_at,2310061L18Rik,0.36391255,-0.1698
1457531_a_at,A930017K11Rik,0.88562823,-0.024
1457532_at,DXImx49e,0.62612624,-0.1202
1457533_at,6430502M16Rik,0.62611392,0.0938
1457534_at,Hs1bp1,0.68929833,0.0872
1457535_at,D630029K19Rik,0.23328224,0.8542
1457536_at,Gpc5,0.52681881,0.1788
1457537_at,Rab1,0.82011824,-0.0508
1457538_at,5930422O12Rik,0.51388079,0.2798
1457539_at,Osbpl8,0.71759152,0.0822
1457540_at,Slc25a26,0.35985856,-0.508
1457541_at,4833428L15Rik,0.51574622,-0.1438
1457542_at,Nup133,0.70906128,0.052
1457543_at,4921525L17Rik,0.25166471,0.3844
1457544_at,6130401J04Rik,0.21467862,-0.3036
1457545_at,9530036O11Rik,0.60264447,0.1436
1457546_at,6030411K04Rik,0.93488738,-0.0176
1457547_at,4832404P21Rik,0.78864301,-0.0426
1457548_at,Adamts6,0.78512653,0.0952
1457549_at,4732474A20Rik,0.47650038,-0.1892
1457550_at,9530059O14Rik,0.85652404,0.0916
1457551_at,Acvr1,0.31589605,0.8258
1457552_at,Zfp295,0.74761276,0.0804
1457553_at,Cugbp2,0.8509012,-0.1366
1457554_at,Apob,0.47644665,-0.1032
1457555_at,Gpr151,0.4831269,-0.2198
1457556_at,AK040843,0.79581995,-0.0434
1457557_at,A330076H08Rik,0.10840884,0.8768
1457558_at,A330050F15Rik,0.83668756,-0.0488
1457559_at,Wac,0.85150757,0.0444
1457560_at,Ssbp3,0.96554583,0.011
1457561_at,Itga5,0.59984844,0.094
1457562_at,Rps6kb1,0.16971908,0.7576
1457563_at,Egfr,0.87955414,-0.029
1457564_at,Dffa,0.54344729,-0.124
1457565_at,C130052G03Rik,0.41935371,0.1104
1457566_at,A830058L05Rik,0.35912113,-0.1542
1457567_at,BC017133,0.49860014,-0.0894
1457568_at,Hnrpd,0.39795806,-0.1502
1457569_at,Mcph1,0.43038539,-0.2248
1457570_at,A230001M10Rik,0.74353018,0.0742
1457571_at,Zfp68,0.59248442,-0.108
1457572_at,Baiap1,0.49972256,0.1106
1457573_at,Top1,0.44271105,0.1798
1457574_at,LOC382109,0.58704005,-0.0716
1457575_at,AU021128,0.57972533,-0.1316
1457576_at,Csf3r,0.75771671,-0.0436
1457577_at,Efnb2,0.8848926,-0.0288
1457578_at,Ppargc1b,0.37257065,0.1506
1457579_at,Atp6v0a1,0.75164042,0.0436
1457580_at,1200003E16Rik,0.41388614,-0.1428
1457581_at,Ubxd3,0.63162716,-0.0732
1457582_at,Uty,0.8990197,0.0332
1457583_at,St6galnac3,0.71392435,0.1104
1457584_at,Suco,0.47747946,0.1878
1457585_at,Tmem24,0.78382941,0.0596
1457586_at,Rasa2,0.73262993,-0.101
1457587_at,Kcnq5,0.46906186,-0.1536
1457588_at,Vcp,0.21250793,-0.2722
1457589_at,D430038H04Rik,0.66306131,0.1004
1457590_at,P2x1,0.60475094,-0.0744
1457591_at,Gm67,0.52099365,-0.1448
1457592_x_at,Zfp787,0.60477758,-0.09
1457593_at,Gcc2,0.91558144,-0.021
1457594_at,Dcaf12,0.89230297,-0.0216
1457595_at,Fbxl12,0.55627073,-0.0974
1457596_at,MGC36238,0.79423247,0.0594
1457597_at,6720426B09Rik,0.60124093,-0.1214
1457598_at,Txnl2,0.95592321,0.0164
1457599_at,2310047H23Rik,0.74364864,-0.0584
1457600_x_at,Nkd2,0.35730824,-0.1652
1457601_at,6430709H04Rik,0.31103696,-0.1734
1457602_at,Sit,0.69103606,-0.0604
1457603_at,Ppp1r9a,0.61615399,0.0842
1457604_x_at,Cyp11a1,0.78871169,0.0592
1457605_at,Atxn1,0.44536547,0.4632
1457606_x_at,Gtf2e1,0.99800727,0.0004
1457607_at,AW046457,0.96736611,0.0068
1457608_at,Gimap8,0.84856296,0.0348
1457609_at,Sox12,0.76527752,0.0604
1457610_at,Rbck1,0.7841287,-0.0522
1457611_x_at,2010309E21Rik,0.68752228,-0.0902
1457612_at,BG061840,0.68797756,-0.0678
1457613_at,Rfxdc1,0.99217645,-0.0016
1457614_at,A930021H16Rik,0.96956416,-0.0074
1457615_at,Lztr1,0.75488848,-0.0606
1457616_at,6430502M16Rik,0.60035308,-0.1012
1457617_at,4930417G10Rik,0.95669645,-0.0082
1457618_at,Ddx6,0.62822555,-0.0934
1457619_at,BC015286,0.61737793,-0.1094
1457620_at,Htf9c,0.58220503,0.0856
1457621_at,2400006N03Rik,0.34310855,0.2418
1457622_at,Rp1l1,0.81134621,0.035
1457623_x_at,Trp53,0.86349788,0.0304
1457624_at,Rab8a,0.68678103,0.0698
1457625_s_at,Cdkl2,0.52137023,0.152
1457626_at,Trim33,0.69898872,-0.0914
1457627_x_at,Ropn1l,0.35041369,-0.1978
1457628_at,2900091E11Rik,0.83713934,0.0612
1457629_at,Atmin,0.76980676,0.0654
1457630_at,9130006A14Rik,0.9542239,-0.0112
1457631_at,2310047N11Rik,0.25552572,0.1794
1457632_s_at,Meis2,0.51145654,0.1934
1457633_x_at,Cox6a2,0.50891015,0.1532
1457634_at,4930488E11Rik,0.33286321,-0.3896
1457635_s_at,Nr3c1,0.84660457,-0.043
1457636_x_at,Tmem209,0.36612453,-0.1728
1457637_at,Prickle1,0.90285643,-0.0698
1457638_x_at,Rfc2,0.31626125,-0.1746
1457639_at,Atp6v1h,0.41238712,0.4436
1457640_x_at,Pigs,0.79093088,0.0488
1457641_at,A130071D04Rik,0.80035399,-0.0474
1457642_at,2810030E01Rik,0.67321512,-0.104
1457643_x_at,2610316D01Rik,0.27385419,-0.2018
1457644_s_at,Cxcl1,0.42156506,-0.1244
1457645_at,C130079G13Rik,0.77524212,0.0488
1457646_at,Hoxa11s,0.6677552,-0.099
1457647_x_at,1600023N17Rik,0.56342728,0.1408
1457648_x_at,BC004044,0.82138849,-0.0696
1457649_x_at,Ptchd1,0.74516099,0.0522
1457650_x_at,Apg4a,0.36262086,-0.4058
1457651_x_at,Rem2,0.43760386,-0.2556
1457652_x_at,Ptgs1,0.30734063,-0.179
1457653_at,A630042L21Rik,0.73486451,-0.0512
1457654_at,Osgep,0.43226419,0.1654
1457655_x_at,2310069I04Rik,0.31063523,0.2074
1457656_s_at,Satb1,0.70861246,0.1102
1457657_at,AI506888,0.72629915,0.0826
1457658_x_at,Anxa4,0.21939335,-0.2958
1457659_x_at,Odf1,0.73293061,-0.0378
1457660_x_at,5430416O09Rik,0.76265544,-0.0454
1457661_at,B930036G03Rik,0.24843233,-0.2428
1457662_x_at,Tpk1,0.74758497,-0.0664
1457663_at,Hs6st3,0.72471034,-0.0562
1457664_x_at,C2,0.44801982,-0.1758
1457665_x_at,Cyp27a1,0.37799318,-0.1212
1457666_s_at,Ifi202b,0.7866126,-0.0624
1457667_x_at,Dyrk2,0.76967201,-0.0408
1457668_x_at,Ebna1bp2,0.19158656,0.7708
1457669_x_at,Rfc2,0.19528861,-0.2788
1457670_s_at,Lmna,0.66098563,-0.1062
1457671_at,Homer2,0.42381809,0.3158
1457672_at,Chd9,0.099091919,-0.334
1457673_at,2610005L07Rik,0.15031919,-0.6908
1457674_at,D330038K10Rik,0.6087918,0.1098
1457675_at,AA409624,0.42812583,-0.1244
1457676_at,Tirap,0.39450289,-0.2084
1457677_at,C920016K16Rik,0.47504961,-0.066
1457678_at,2310035C23Rik,0.64010317,0.1112
1457679_at,Suv39h2,0.71202866,-0.067
1457680_a_at,A630048M13Rik,0.39163313,-0.1514
1457681_at,2610301F02Rik,0.71035466,0.0388
1457682_at,9030420J04Rik,0.59793962,-0.0742
1457683_at,Grik2,0.76374895,-0.0922
1457684_at,C20orf27,0.79212591,-0.0654
1457685_at,D330034E10Rik,0.44977325,0.1446
1457686_at,Dxys155e,0.23532099,0.3062
1457687_at,Bcl2,0.31052241,0.2684
1457688_at,Zfp398,0.48153024,0.1206
1457689_at,Mtmr13,0.41000379,0.3218
1457690_at,Kalrn,0.56476856,0.1652
1457691_at,Ebi2,0.46881486,-0.151
1457692_at,Thap3,0.78121976,-0.0966
1457693_a_at,6430537H07Rik,0.88825724,0.0512
1457694_at,6430537H07Rik,0.17650116,-0.2172
1457695_at,Ap1gbp1,0.18423939,0.1696
1457696_at,Rilp,0.60625938,0.078
1457697_at,Steap2,0.99336348,0.0028
1457698_at,AI314831,0.60563931,-0.0702
1457699_at,Kiaa1147,0.48774445,0.1038
1457700_at,4732474A20Rik,0.93423166,-0.0142
1457701_at,Tmem136,0.35363368,-0.1442
1457702_at,Gpr12,0.39375271,0.3614
1457703_at,Cacna2d4,0.75319797,0.0466
1457704_at,Zfp533,0.4393002,0.1328
1457705_at,Syne1,0.87209707,0.0422
1457706_at,BC030336,0.43869696,0.2152
1457707_at,A730009E18Rik,0.65557374,-0.1066
1457708_at,Mbd4,0.3771944,-0.2354
1457709_a_at,A930005H10Rik,0.47664035,-0.2314
1457710_at,Zhx3,0.79799513,0.056
1457711_at,2610024N24Rik,0.57860146,0.0998
1457712_at,AW549269,0.89245836,0.0452
1457713_at,Ercc5,0.89450865,0.0224
1457714_at,2310005N03Rik,0.69396692,-0.0652
1457715_at,1010001B22Rik,0.70412812,-0.0592
1457716_at,Mtmr11,0.2933333,0.2794
1457717_at,D14Ertd449e,0.75657064,0.0834
1457718_at,Srcap,0.66553668,-0.0848
1457719_at,BE628844,0.56228253,-0.0806
1457720_at,4932411A06Rik,0.92408452,-0.0154
1457721_at,AI118064,0.80041059,0.0474
1457722_at,A630024B12Rik,0.84541922,0.0438
1457723_at,Pspc1,0.81992766,-0.079
1457724_at,Ctsl2,0.12381893,0.8152
1457725_at,Ms4a4d,0.73209252,0.0712
1457726_at,Rps15a,0.33580164,0.5496
1457727_at,AA420070,0.20277065,-0.1992
1457728_at,Pgls,0.75552726,0.0666
1457729_at,Gpr12,0.10311869,-0.4508
1457730_at,Fancm,0.99351089,-0.0014
1457731_at,Snapc3,0.22554417,0.4134
1457732_at,Pcmtd2,0.087951876,0.3928
1457733_at,Cntnap5a,0.67083519,-0.1034
1457734_at,Pou3f2,0.97329798,0.009
1457735_at,9230107M04Rik,0.63158644,-0.0892
1457736_at,Wbscr24,0.38375649,-0.1552
1457737_at,Gm4792,0.96732672,-0.008
1457738_at,2700023B17Rik,0.47625073,0.1322
1457739_at,Ilf3,0.74288308,0.0626
1457740_at,Arntl,0.13804938,0.2454
1457741_at,Tex2,0.7247415,-0.085
1457742_at,3010021M21Rik,0.93217682,0.0148
1457743_at,Rgs7bp,0.56815305,0.1338
1457744_at,Ddx46,0.32133403,0.2032
1457745_at,Gpr4,0.93250997,0.0104
1457746_at,Qrich1,0.61134378,-0.1458
1457747_at,9330109K16Rik,0.42170539,-0.289
1457748_at,Pogz,0.81412713,-0.0438
1457749_at,A830039B04Rik,0.88305638,0.0202
1457750_at,Abcc1,0.22625465,-0.2064
1457751_at,Rsf1,0.21467777,0.7222
1457752_at,AU014876,0.73110067,0.0662
1457753_at,Tlr1,0.37255697,-0.1582
1457754_at,C12orf29,0.56227256,-0.1314
1457755_at,Gng8,0.80317485,0.0456
1457756_at,Zfp192,0.35208555,0.3066
1457757_at,LOC269389,0.96349361,0.0082
1457758_at,1810057B09Rik,0.67153873,0.2
1457759_at,A630081D01Rik,0.4753314,0.247
1457760_at,A930004J17Rik,0.63530632,0.1426
1457761_at,Entpd1,0.70580995,0.0522
1457762_at,Ttc15,0.8511367,-0.028
1457763_at,Gabrd,0.96358471,0.007
1457764_at,A530058O07Rik,0.65680894,-0.166
1457765_at,Psmd14,0.61010254,0.1946
1457766_at,2010012F05Rik,0.74318154,-0.064
1457767_at,Nisch,0.89895572,-0.0226
1457768_at,Prune,0.67666368,0.0804
1457769_at,H60,0.98283055,0.0038
1457770_at,Slc39a14,0.86559416,-0.027
1457771_at,Ptpro,0.86666087,-0.0314
1457772_at,D11Ertd736e,0.59352805,-0.1174
1457773_at,Slamf6,0.71714929,0.0752
1457774_at,2310079N02Rik,0.65159363,-0.0918
1457775_at,E130115J16Rik,0.70978544,0.052
1457776_at,Naalad2,0.50153583,-0.1268
1457777_at,Gsdma,0.73363767,0.0604
1457778_at,Stox2,0.91462688,0.0158
1457779_at,1110046J04Rik,0.53759513,0.209
1457780_at,Stx11,0.84639778,0.0302
1457781_at,Kcnq1,0.84251381,0.0344
1457782_at,Tln1,0.84633749,0.053
1457783_at,Rab12,0.68907742,0.0942
1457784_at,Clcnkb,0.82799777,-0.0326
1457785_at,Zswim3,0.67808487,0.0538
1457786_at,6430529G09Rik,0.79810981,0.076
1457787_at,C230080I20Rik,0.38928504,-0.1218
1457788_at,Rassf1,0.61156066,-0.1026
1457789_at,Cln3,0.43833747,-0.1342
1457790_at,Asb3,0.8798136,0.047
1457791_at,Hsd17b14,0.44291235,-0.0918
1457792_at,D15Ertd735e,0.9617599,-0.0064
1457793_a_at,Whsc1l1,0.75874596,0.0846
1457794_at,Whsc1l1,0.92697353,0.0238
1457795_at,Scamp4,0.41809199,0.1108
1457796_at,Ubr1,0.29316514,0.421
1457797_at,Slc8a1,0.989324,0.0058
1457798_at,Elmsan1,0.77285923,-0.0596
1457799_at,Kcns3,0.39639757,0.1208
1457800_at,Slc1a2,0.11359612,0.7424
1457801_at,9930024M15Rik,0.46258981,-0.1322
1457802_at,Rapgef2,0.62212424,-0.1584
1457803_at,Prkag1,0.91648848,-0.0268
1457804_at,A130001G05Rik,0.69883957,-0.0486
1457805_at,Ctsj,0.29995616,0.5934
1457806_at,Dock1,0.51932947,-0.2112
1457807_at,Gnpnat1,0.5452969,-0.1748
1457808_at,AI413391,0.61216327,0.1184
1457809_at,Kat2b,0.8717559,-0.0306
1457810_at,Zbtb37,0.72312031,-0.0764
1457811_at,C030006F08Rik,0.30947246,-0.1232
1457812_at,Trp53bp1,0.23508292,2.9532
1457813_at,Mrps18a,0.24169865,-0.2358
1457814_at,1110014D18Rik,0.40513048,0.4376
1457815_at,Nup214,0.95512946,0.0106
1457816_at,Casp9,0.53987443,-0.1036
1457817_at,Bcas3,0.21832294,0.623
1457818_at,Gtf2h2,0.34330898,-0.1526
1457819_at,Scn9a,0.12595684,0.2524
1457820_at,Amd1,0.88202033,-0.0214
1457821_at,2610511M17Rik,0.74347395,-0.0486
1457822_at,D1Bwg0491e,0.37989383,-0.2534
1457823_at,Cyr61,0.72751092,-0.0696
1457824_at,Plscr1,0.9171906,0.0156
1457825_x_at,Tcn2,0.92478251,0.0222
1457826_a_at,1810043H04Rik,0.3713273,-0.1102
1457827_at,Arsj,0.55970863,0.1686
1457828_at,Stam,0.62023998,0.088
1457829_at,Clgn,0.19348048,0.3172
1457830_at,Net1,0.9580636,-0.0076
1457831_at,Trim61,0.64988099,-0.0604
1457832_at,AK051498,0.9839504,-0.0044
1457833_at,Dner,0.60672648,0.0868
1457834_at,Yy1,0.28842396,0.2156
1457835_at,C920025J10,0.14930225,-0.3434
1457836_at,2600014M03Rik,0.32115887,-0.4736
1457837_at,BC033606,0.78044131,0.0374
1457838_at,Cdc45l,0.93505572,-0.0168
1457839_at,AA266723,0.46957901,0.367
1457840_at,Plxna4,0.78473752,0.0536
1457841_at,Scd4,0.89041275,0.0186
1457842_at,LOC229512,0.6841686,-0.079
1457843_at,E130115E03Rik,0.34436726,0.299
1457844_a_at,C20orf112,0.86261855,-0.0288
1457845_at,Vta1,0.47523346,0.3
1457846_at,Stxbp4,0.68895663,-0.078
1457847_at,Rfx7,0.23203481,2.1914
1457848_at,A930016P21Rik,0.086772772,-0.4432
1457849_at,4933430F16Rik,0.98901926,-0.0022
1457850_at,Slc7a14,0.75644294,-0.0952
1457851_at,Slc16a10,0.59962528,-0.0696
1457852_at,Ltbp1,0.80677126,-0.0482
1457853_at,BC021785,0.7788142,-0.0382
1457854_at,Cdkal1,0.96551106,-0.0098
1457855_at,Rbp3,0.63883703,-0.0758
1457856_at,Nr2e3,0.53370606,-0.0874
1457857_at,B930007P11Rik,0.75513524,-0.0578
1457858_at,Refbp1,0.76776389,0.0648
1457859_at,6430706H07Rik,0.93932628,0.0122
1457860_at,Pign,0.78764405,-0.0492
1457861_at,A230009B12Rik,0.67013887,-0.1494
1457862_at,A130042E20,0.95393531,0.0096
1457863_at,1110013H04Rik,0.68517208,-0.0554
1457864_at,D030060O14Rik,0.62709172,0.082
1457865_at,A730011C13Rik,0.70794385,-0.0878
1457866_at,C77717,0.83603488,0.0438
1457867_at,Sgpp2,0.82957596,-0.0662
1457868_at,Slc2a13,0.3177364,-0.1902
1457869_at,Oas1b,0.7608359,0.1404
1457870_at,D830007G01Rik,0.96612869,-0.0048
1457871_at,LOC239447,0.75896935,-0.0394
1457872_at,Jmj,0.15720588,0.2808
1457873_at,9830143O18Rik,0.79183081,-0.0504
1457874_at,4930532M18Rik,0.57108313,0.1466
1457875_at,AU015105,0.76743996,-0.0426
1457876_at,D9Ertd496e,0.8304851,-0.0364
1457877_at,Esr1,0.82786048,-0.04
1457878_at,C430042M11Rik,0.86773262,0.0314
1457879_at,A230107O07Rik,0.9003362,-0.0186
1457880_at,Rasgef1b,0.96212812,-0.012
1457881_at,Osbpl6,0.43576069,-0.1108
1457882_at,5730466H23Rik,0.36711801,0.3362
1457883_at,Pm20d2,0.43442694,-0.1594
1457884_at,4732496C06Rik,0.77107804,0.0448
1457885_at,Prkag2,0.58415725,0.1116
1457886_at,Dcc,0.36592801,1.0788
1457887_at,Sspo,0.90957563,-0.022
1457888_at,0610009F02Rik,0.94274437,-0.0112
1457889_at,Atl3,0.27789483,-0.2666
1457890_at,D6Ertd234e,0.31367205,-0.1456
1457891_at,Cugbp2,0.51898321,0.3026
1457892_at,E130006J24Rik,0.77258089,0.0454
1457893_at,Dub1,0.92656053,-0.0164
1457894_at,B430010I23Rik,0.28753992,0.6934
1457895_at,Kif18a,0.85018788,-0.0278
1457896_at,Tll,0.99576679,-0.0022
1457897_at,Iqce,0.77213377,-0.0462
1457898_at,Kcnq5,0.87793112,-0.0302
1457899_at,Kalrn,0.13734746,0.3748
1457900_at,D630041L21,0.64126442,0.1384
1457901_at,Cdc42,0.49650088,0.2314
1457902_at,8430438M01Rik,0.70006072,-0.0548
1457903_at,5330436L21Rik,0.85418984,0.0272
1457904_at,Car8,0.47201077,0.49
1457905_at,4632417D23,0.78088533,-0.056
1457906_at,BC011167,0.48459025,0.2492
1457907_at,4833412C05Rik,0.36191227,-0.1774
1457908_at,Ppp1r3a,0.40837929,0.339
1457909_at,Dna2l,0.4109035,-0.1148
1457910_at,A930012M21Rik,0.34758308,0.2804
1457911_at,A930002I21Rik,0.51703855,0.1592
1457912_at,E130317F20Rik,0.94922334,0.0086
1457913_at,Cldn19,0.94922259,-0.022
1457914_at,Hurp,0.79373663,-0.0578
1457915_at,Mettl20,0.42542719,-0.1398
1457916_at,C130065N10Rik,0.55993286,-0.0768
1457917_at,Lck,0.91553423,0.0166
1457918_at,Tnfaip2,0.13192837,0.506
1457919_at,E430024P14Rik,0.85055745,-0.056
1457920_at,4832404P21Rik,0.24144264,-0.2208
1457921_at,1810037C20Rik,0.73978214,0.0488
1457922_at,Ung,0.4550732,-0.1644
1457923_at,A930040J07,0.51598911,0.1386
1457924_at,Mbnl1,0.85782375,-0.0506
1457925_at,C530049I24Rik,0.92753319,0.015
1457926_at,Gjc3,0.77839732,0.0628
1457927_at,Trpm3,0.97910332,-0.0056
1457928_at,4930435E12Rik,0.93949431,-0.0188
1457929_at,Mdm2,0.86616338,-0.0332
1457930_at,Kdm5c,0.44268832,0.2768
1457931_at,D130003D08Rik,0.78081035,0.0442
1457932_at,AI746482,0.36408471,0.242
1457933_at,LOC230162,0.55205557,-0.1456
1457934_at,Cpne1,0.99242116,0.0014
1457935_at,Sdccag33l,0.60176304,-0.1084
1457936_at,Mapk8,0.80923349,0.0626
1457937_at,AW544981,0.59466459,-0.1228
1457938_at,AK136789,0.80288705,-0.0474
1457939_at,4930525K21Rik,0.74400396,0.0768
1457940_at,Pde8a,0.62659718,-0.0756
1457941_at,Gmeb2,0.87104198,0.0266
1457942_at,BI467159,0.81825769,-0.043
1457943_at,1700011J10Rik,0.30093878,-0.1486
1457944_at,Etv6,0.99549822,-0.0008
1457945_at,Eif2s3y,0.82383391,-0.047
1457946_at,Vtn,0.73056923,0.0464
1457947_at,Gata5,0.83781567,0.0356
1457948_at,Gas7,0.2060577,-0.2016
1457949_at,Nt5c2,0.41026589,0.1068
1457950_at,LOC193217,0.79490972,-0.0564
1457951_at,C130040D06Rik,0.97638419,-0.0046
1457952_at,Cd80,0.71786931,-0.0572
1457953_at,BB017531,0.20250991,-0.1662
1457954_at,A730019I05Rik,0.48908622,-0.1244
1457955_at,Gga2,0.75769058,0.0954
1457956_at,AW987475,0.90941346,0.0158
1457957_at,LOC244530,0.89692788,-0.025
1457958_at,Ankrd26,0.83404009,-0.0416
1457959_at,Svs6,0.84798985,0.0408
1457960_at,C730029A08Rik,0.89297531,0.0218
1457961_at,Lpgat1,0.68354641,-0.1038
1457962_at,Sdk1,0.96737136,-0.0078
1457963_at,BC042620,0.53060202,0.0902
1457964_at,1810044D09Rik,0.59725339,-0.1132
1457965_at,Ptprd,0.8023919,0.0516
1457966_at,Fbxl7,0.29892472,0.232
1457967_at,A030003K21Rik,0.78666683,-0.0596
1457968_at,Ppat,0.95027636,-0.017
1457969_at,Rabif,0.22179743,1.081
1457970_at,Actr1a,0.66603212,0.1014
1457971_at,C030034I22Rik,0.53948699,-0.1426
1457972_at,Pcyox1,0.49128598,-0.1294
1457973_at,2310043D08Rik,0.23569034,2.602
1457974_at,C230066G23Rik,0.60255175,0.094
1457975_at,Gtpbp3,0.58902411,0.1306
1457976_at,Rgnef,0.78533912,-0.035
1457977_at,2310005N01Rik,0.4479103,-0.1064
1457978_at,Gje1,0.64052946,-0.08
1457979_at,Dlgap2,0.85740942,0.0366
1457980_x_at,Uck2,0.54026232,-0.0916
1457981_x_at,2810418N01Rik,0.58282868,0.0804
1457982_at,1700052M18Rik,0.94246637,0.0124
1457983_s_at,Rwdd4a,0.73761124,-0.061
1457984_at,Crh,0.7620556,0.1502
1457985_at,Clmn,0.55142965,0.1206
1457986_at,BE980842,0.47242419,-0.102
1457987_at,C5orf22,0.40282743,-0.6266
1457988_at,Sec63,0.79171882,0.0864
1457989_at,Slc4a11,0.72186294,-0.0718
1457990_at,Anks1b,0.97561763,-0.006
1457991_at,Abcd3,0.26434279,0.8316
1457992_at,Rcl1,0.71186245,-0.0672
1457993_at,4930506D23Rik,0.69645524,0.0728
1457994_at,Plxna4,0.70459208,-0.0612
1457995_at,Pcif1,0.86558449,-0.0378
1457996_at,2610528J18Rik,0.57260974,-0.1266
1457997_at,Leng4,0.15592179,-0.4106
1457998_at,4933413L06Rik,0.60736658,-0.0942
1457999_at,Rmdn1,0.7772467,-0.0422
1458000_at,Dsg1b,0.83458108,0.0284
1458001_at,A630075K04Rik,0.69751269,-0.0548
1458002_at,Mapk10,0.22990057,-0.6562
1458003_at,Zfp398,0.19393953,-1.9174
1458004_at,Prrx1,0.90585511,0.0234
1458005_at,Cobl,0.79513613,-0.0534
1458006_at,Cpm,0.88674148,-0.0234
1458007_at,Myo1b,0.25586431,-1.406
1458008_at,MGC36545,0.96387048,-0.0086
1458009_at,Lce,0.7732242,0.037
1458010_at,Ptprd,0.87547577,-0.0544
1458011_s_at,D4Ertd117e,0.5473864,0.1244
1458012_at,Dach2,0.62233747,-0.1086
1458013_at,AI043120,0.89091405,0.0254
1458014_at,Aff2,0.78373496,-0.0544
1458015_at,2410080H04Rik,0.7804992,0.0738
1458016_at,4930431L21Rik,0.73356852,-0.0574
1458017_at,6820402O20Rik,0.69859403,-0.1036
1458018_at,Ppm1h,0.74350169,-0.0912
1458019_at,Msr2,0.31900874,0.528
1458020_at,Reln,0.87889197,0.0194
1458021_at,Snx15,0.48853459,-0.1354
1458022_at,D830039M14Rik,0.95071181,0.0114
1458023_at,Gpkow,0.75222816,-0.0752
1458024_at,B930018B01,0.4459418,0.1666
1458025_at,Ttc7,0.88092739,0.024
1458026_at,D030063E12,0.11872443,0.7634
1458027_at,Mrpl17,0.72183767,0.0756
1458028_at,LOC231291,0.32756354,-0.1812
1458029_at,Fam120b,0.94645148,0.0094
1458030_at,BG070409,0.70245077,-0.0688
1458031_at,B230315F11Rik,0.50941148,-0.1466
1458032_at,Tpd52l2,0.69923008,-0.0692
1458033_at,Ubr1,0.32586126,-0.1818
1458034_at,1200016B10Rik,0.98576904,0.0032
1458035_at,Sgpp2,0.93226742,0.017
1458036_at,BG071004,0.91055786,0.0206
1458037_at,Ncald,0.95423947,0.0136
1458038_at,1700034P14Rik,0.87500224,-0.0528
1458039_at,Ncoa3,0.56270633,-0.1768
1458040_at,Cer1,0.39927674,-0.1916
1458041_at,9030625G08Rik,0.45651393,-0.1262
1458042_at,Affy_1458042_at,0.49394805,-0.1402
1458043_at,Btbd9,0.42558498,-0.1446
1458044_at,Cml1,0.92202026,-0.0196
1458045_at,Odz4,0.58420294,0.3642
1458046_at,Chtf18,0.81244663,-0.0342
1458047_at,Tnfsf13b,0.69842469,0.0786
1458048_at,6720406K03,0.69695939,-0.0574
1458049_at,Hgd,0.56589494,-0.0762
1458050_at,6720484A09Rik,0.46320881,0.2602
1458051_at,0910001A06Rik,0.87923026,-0.0566
1458052_at,E130310K16Rik,0.63782175,0.1838
1458053_at,Abi2,0.88349573,-0.0366
1458054_at,Ext1,0.99632065,0.0012
1458055_at,Dsc3,0.77808295,0.0454
1458056_at,Sfrs12,0.65721642,0.192
1458057_at,Cald1,0.48196195,0.1442
1458058_at,Bcas3,0.93636425,0.0196
1458059_at,Ranbp9,0.83118294,-0.0458
1458060_at,LOC243369,0.74377814,0.0596
1458061_at,C130033P17Rik,0.69678981,-0.0662
