target,gene,p-value,parental difference (B6-DBA)
1415939_at,Fmod,0.42354816,-0.2644
1415940_at,AA407930,0.77795438,0.0454
1415941_s_at,AA407930,0.54753455,-0.0848
1415942_at,Rpl10,0.22348225,-0.1316
1415943_at,Sdc1,0.6326431,-0.0992
1415944_at,Sdc1,0.89359807,-0.0242
1415945_at,Mcm5,0.62012374,0.1202
1415946_at,Pigq,0.78831208,-0.039
1415947_at,Creg1,0.45855278,-0.2068
1415948_at,Creg1,0.74125876,0.061
1415949_at,Cpe,0.6805672,0.0574
1415950_a_at,Pebp1,0.16056901,-0.1388
1415951_at,Fkbp10,0.8058356,0.0636
1415952_at,Mark2,0.70572254,0.0714
1415953_s_at,Mark2,0.67698087,0.093
1415954_at,Try4,0.23632822,0.163
1415955_x_at,Prm1,0.87536516,0.0202
1415956_a_at,Pctk1,1,0
1415957_a_at,Rrp1,0.74192195,0.046
1415958_at,Slc2a4,0.63332176,-0.0688
1415959_at,Slc2a4,0.88953198,0.028
1415960_at,Mpo,0.55105659,-0.1018
1415961_at,Itm2c,0.58825257,-0.053
1415962_at,Eif3s3,0.21659663,-0.13
1415963_at,Hnrph2,0.2602808,0.1326
1415964_at,Scd1,0.64930558,0.1304
1415965_at,Scd1,0.64132692,0.1572
1415966_a_at,Ndufv1,0.49166605,-0.0968
1415967_at,Ndufv1,0.29022546,-0.0884
1415968_a_at,Kap,0.8410651,0.0328
1415969_s_at,Kap,0.94142802,-0.011
1415970_at,Cox6c,0.84065158,-0.0172
1415971_at,Marcks,0.48068924,-0.089
1415972_at,Marcks,0.82980594,-0.0334
1415973_at,Marcks,0.4310765,-0.1204
1415974_at,Map2k2,0.75229955,-0.0542
1415975_at,Carhsp1,0.86151389,0.0336
1415976_a_at,Carhsp1,0.98072215,-0.0058
1415977_at,Isyna1,0.30106312,-0.29
1415978_at,Tubb3,0.48001132,-0.1466
1415979_x_at,Rpl7,0.59344242,-0.0796
1415980_at,Atp5g2,0.075753236,-0.2892
1415981_at,Herpud2,0.88461056,0.0142
1415982_at,5031400M07Rik,0.69676515,0.0646
1415983_at,Lcp1,0.70490838,0.1614
1415984_at,Acadm,0.62649039,-0.0424
1415985_at,Sf3b3,0.77191008,-0.0366
1415986_at,Clcn4-2,0.61242287,-0.0646
1415987_at,Hdlbp,0.69143358,-0.0544
1415988_at,Hdlbp,0.30439419,0.23
1415989_at,Vcam1,0.59324876,0.094
1415990_at,Vdac2,0.70233495,-0.0406
1415991_a_at,Klhdc3,0.75115586,-0.0316
1415992_at,Pigo,0.22457483,-0.2168
1415993_at,Sqle,0.70016079,-0.076
1415994_at,Cyp2e1,0.83168947,0.0688
1415995_at,Casp6,0.76661839,-0.0486
1415996_at,Txnip,0.31492841,-0.2374
1415997_at,Txnip,0.63712446,-0.1242
1415998_at,Vdac1,0.59609001,-0.0826
1415999_at,Hey1,0.33474752,-0.102
1416000_a_at,Prdx1,0.83470045,-0.0296
1416001_a_at,Cotl1,0.63626781,0.086
1416002_x_at,Cotl1,0.91063394,0.0326
1416003_at,Cldn11,0.36990384,0.265
1416004_at,Ywhah,0.77602133,-0.0396
1416005_at,Psmc1,0.95174739,0.0094
1416006_at,Mdk,0.34630587,-0.2452
1416007_at,Satb1,0.59652986,0.1786
1416008_at,Satb1,0.34916685,0.2682
1416009_at,Tspan3,0.44110627,-0.0852
1416010_a_at,Ehd1,0.80295952,-0.0542
1416011_x_at,Ehd1,0.94747118,0.0096
1416012_at,Ehd1,0.1875575,0.4546
1416013_at,Pld3,0.7443686,-0.0482
1416014_at,Abce1,0.88303825,0.018
1416015_s_at,Abce1,0.81046617,0.0266
1416016_at,Tap1,0.89848398,0.0202
1416017_at,Copg,0.6108659,-0.0862
1416018_at,Dr1,0.91409683,-0.0148
1416019_at,Dr1,0.52840109,0.1958
1416020_a_at,Atp5g1,0.032841323,-0.4964
1416021_a_at,Fabp5,0.79604385,-0.0514
1416022_at,Fabp5,0.86495685,0.0344
1416023_at,Fabp3,0.18403857,-0.2334
